name,cuisine,location,address,price_for_two,rating,distance_miles,has_window,view_type,features,open_hours,phone,description
Perch,Lounges,448 S Hill St Los Angeles,"448 S Hill St Los Angeles, CA 90013",85,4.1,2.2,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1159,Lounges restaurant in 448 S Hill St Los Angeles
Howlin' Ray's,Southern,727 N Broadway Ste 128 Los Angeles,"727 N Broadway Ste 128 Los Angeles, CA 90012",55,4.7,1.1,True,none,window seating,Mon-Sun 11:00-22:00,(323) 555-1084,Southern restaurant in 727 N Broadway Ste 128 Los Angeles
Bestia,Italian,2121 E 7th Pl Los Angeles,"2121 E 7th Pl Los Angeles, CA 90021",85,4.3,1.0,False,none,bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1022,Italian restaurant in 2121 E 7th Pl Los Angeles
Republique,French,624 S La Brea Ave Los Angeles,"624 S La Brea Ave Los Angeles, CA 90036",55,4.2,1.9,True,garden,window seating|garden view|bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1169,French restaurant in 624 S La Brea Ave Los Angeles
Morrison Atwater Village,Gastropubs,3179 Los Feliz Blvd Los Angeles,"3179 Los Feliz Blvd Los Angeles, CA 90039",55,4.6,2.9,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1140,Gastropubs restaurant in 3179 Los Feliz Blvd Los Angeles
Blu Jam Café,American (New),7371 Melrose Ave Los Angeles,"7371 Melrose Ave Los Angeles, CA 90046",55,4.2,1.2,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1023,American (New) restaurant in 7371 Melrose Ave Los Angeles
Slurpin' Ramen Bar - Los Angeles,Ramen,3500 W 8th St Los Angeles,"3500 W 8th St Los Angeles, CA 90005",55,4.4,1.7,True,city,window seating|city view,Mon-Sun 11:00-22:00,(323) 555-1188,Ramen restaurant in 3500 W 8th St Los Angeles
BCD Tofu House,Korean,3575 Wilshire Blvd Los Angeles,"3575 Wilshire Blvd Los Angeles, CA 90010",55,4.1,2.2,True,harbor,window seating|harbor view,Mon-Sun 11:00-22:00,(323) 555-1009,Korean restaurant in 3575 Wilshire Blvd Los Angeles
Masa of Echo Park,Pizza,1800 W Sunset Blvd Los Angeles,"1800 W Sunset Blvd Los Angeles, CA 90026",55,4.2,1.1,True,street,window seating|street view,Mon-Sun 11:00-22:00,(323) 555-1133,Pizza restaurant in 1800 W Sunset Blvd Los Angeles
Marugame Monzo,Japanese,329 E 1st St Los Angeles,"329 E 1st St Los Angeles, CA 90012",55,4.4,0.5,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1132,Japanese restaurant in 329 E 1st St Los Angeles
Langer's Delicatessen,Delis,704 S Alvarado St Los Angeles,"704 S Alvarado St Los Angeles, CA 90057",55,4.4,2.0,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1114,Delis restaurant in 704 S Alvarado St Los Angeles
Maccheroni Republic,Italian,332 S Broadway Los Angeles,"332 S Broadway Los Angeles, CA 90013",55,4.3,2.5,False,none,bar|wine bar,Mon-Sun 11:00-22:00,(323) 555-1126,Italian restaurant in 332 S Broadway Los Angeles
Home Restaurant - Los Feliz,Breakfast & Brunch,1760 Hillhurst Ave Los Angeles,"1760 Hillhurst Ave Los Angeles, CA 90027",55,4.1,1.9,True,none,window seating,Mon-Sun 11:00-22:00,(323) 555-1081,Breakfast & Brunch restaurant in 1760 Hillhurst Ave Los Angeles
Bossa Nova Brazilian Cuisine,Brazilian,7181 W Sunset Blvd Los Angeles,"7181 W Sunset Blvd Los Angeles, CA 90046",55,3.6,2.4,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1025,Brazilian restaurant in 7181 W Sunset Blvd Los Angeles
Bao Dim Sum House,Dim Sum,8256 Beverly Blvd Los Angeles,"8256 Beverly Blvd Los Angeles, CA 90048",55,4.0,1.1,True,street,window seating|street view|bar,Mon-Sun 11:00-22:00,(323) 555-1016,Dim Sum restaurant in 8256 Beverly Blvd Los Angeles
The Front Yard,American (New),4222 Vineland Ave North Hollywood,"4222 Vineland Ave North Hollywood, CA 91602",55,4.0,0.2,True,none,window seating|wine bar,Mon-Sun 11:00-22:00,(323) 555-1205,American (New) restaurant in 4222 Vineland Ave North Hollywood
Poppy + Rose,Breakfast & Brunch,765 Wall St Los Angeles,"765 Wall St Los Angeles, CA 90014",55,4.0,1.1,False,none,casual dining,Mon-Sun 11:00-22:00,(323) 555-1166,Breakfast & Brunch restaurant in 765 Wall St Los Angeles
Firefly,American (New),11720 Ventura Blvd Studio City,"11720 Ventura Blvd Studio City, CA 91604",85,3.9,2.8,True,none,window seating|bar|cocktails,Mon-Sun 11:00-22:00,(323) 555-1052,American (New) restaurant in 11720 Ventura Blvd Studio City
